name_launch,date_utc,success,payloads,rocket,upcoming,launchpad,name_payload,mass_kg,type,orbit,customers
SXM-8,2021-06-06 04:26:00+00:00,True,5fe3b57db3467846b324217a,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,SXM-8,7000.0,Satellite,GTO,SiriusXM
GPS III SV05,2021-06-17 16:09:00+00:00,True,5eb0e4d2b6c3bb0006eeb261,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,GPS III SV05,3681.0,Satellite,MEO,USAF
Transporter-2,2021-06-30 19:31:00+00:00,True,608ac397eb3e50044e3630e7,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Transporter-2,4701.5,Satellite,SSO,
CRS-23,2021-08-29 07:14:00+00:00,True,5fe3c4f2b3467846b3242193,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,CRS-23,4701.5,Dragon 2.0,ISS,NASA (CRS)
Starlink 2-1 (v1.5),2021-09-14 03:55:00+00:00,True,60e3bf3373359e1e20335c3c,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,Starlink 2-1 (v1.5),15600.0,Satellite,PO,SpaceX
Inspiration4,2021-09-16 00:02:00+00:00,True,607a382f5a906a44023e0867,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Inspiration4,4701.5,Crew Dragon,LEO,Jared Isaacman
Crew-3,2021-11-11 02:03:00+00:00,True,5fe3b3bab3467846b3242174,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Crew-3,12519.0,Crew Dragon,ISS,NASA (CCtCap)
Starlink 4-1 (v1.5),2021-11-13 12:40:00+00:00,True,618fabf0563d69573ed8caa6,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-1 (v1.5),13260.0,Satellite,LEO,SpaceX
DART,2021-11-24 06:20:00+00:00,True,5fe3c4a6b3467846b3242192,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,DART (Double Asteroid Redirection Test),670.0,Satellite,TLI,NASA
Starlink 4-3 (v1.5),2021-12-01 23:20:00+00:00,True,6161d0f26db1a92bfba85355,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-3 (v1.5),13260.0,Satellite,PO,SpaceX
IXPE,2021-12-09 06:00:00+00:00,True,61c1f395a4a2462678cbf46e,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,IPXE,330.0,Satellite,LEO,"NASA, ASI"
Starlink 4-4 (v1.5),2021-12-18 12:41:40+00:00,True,61bbac16437241381bf70632,5e9d0d95eda69973a809d1ec,False,5e9e4502f509092b78566f87,Starlink 4-4 (v1.5),13260.0,Satellite,PO,SpaceX
